,ID_Person,age,race,sex,educ,hhinc,hhtrips,hhsize,companions,wrkhrs,hhveh,distance,cluster
227,700059271.0,39.0,3.0,1.0,6.0,10.0,7.0,2.0,0.0,50.0,1.0,6.819,2.0
228,700059271.0,39.0,3.0,1.0,6.0,10.0,7.0,2.0,0.0,50.0,1.0,3.535,2.0
229,700059271.0,39.0,3.0,1.0,6.0,10.0,7.0,2.0,0.0,50.0,1.0,3.822,2.0
230,700059291.0,51.0,3.0,2.0,5.0,9.0,4.0,3.0,0.0,7.0,3.0,26.477,0.0
231,700059601.0,53.0,1.0,2.0,5.0,7.0,6.0,1.0,0.0,15.0,0.0,12.678,0.0
232,700060222.0,37.0,1.0,1.0,5.0,10.0,3.0,4.0,1.0,40.0,2.0,11.558,2.0
233,700060693.0,27.0,1.0,2.0,3.0,8.0,5.0,3.0,0.0,40.0,3.0,0.43,0.0
234,700060693.0,27.0,1.0,2.0,3.0,8.0,5.0,3.0,0.0,40.0,3.0,0.331,0.0
235,700060952.0,51.0,2.0,1.0,4.0,7.0,5.0,2.0,0.0,40.0,1.0,17.232,2.0
236,700061412.0,56.0,2.0,2.0,3.0,1.0,6.0,2.0,0.0,40.0,2.0,1.082,0.0
237,700061412.0,56.0,2.0,2.0,3.0,1.0,6.0,2.0,0.0,40.0,2.0,1.432,0.0
238,700062311.0,44.0,2.0,2.0,3.0,8.0,10.0,4.0,2.0,40.0,2.0,2.039,0.0
239,700062634.0,14.0,1.0,1.0,1.0,10.0,11.0,6.0,4.0,40.0,2.0,16.277,1.0
240,700062991.0,48.0,2.0,2.0,6.0,7.0,7.0,2.0,0.0,35.0,2.0,1.726,0.0
241,700063131.0,39.0,3.0,1.0,6.0,10.0,11.0,4.0,0.0,50.0,2.0,4.401,2.0
242,700063271.0,46.0,1.0,2.0,6.0,9.0,29.0,4.0,2.0,40.0,2.0,1.932,0.0
243,700063273.0,15.0,1.0,2.0,1.0,9.0,29.0,4.0,2.0,40.0,2.0,1.932,1.0
244,700063792.0,42.0,6.0,1.0,6.0,10.0,2.0,3.0,1.0,40.0,1.0,2.494,2.0
245,700063961.0,47.0,1.0,2.0,6.0,8.0,3.0,1.0,0.0,20.0,1.0,0.655,0.0
